id,machine,start,processing_time,due_date,color,weight
1,Machine A,100,5,37,#1506b6,5
2,Machine D,77,5,72,#92deb6,10
3,Machine D,81,6,74,#346f08,10
4,Machine D,29,6,34,#21c514,10
5,Machine A,41,4,56,#f640cc,1
6,Machine B,51,8,23,#2b88e7,3
7,Machine D,47,5,82,#c4e93c,1
8,Machine C,30,7,35,#18b6ce,4
9,Machine D,43,5,41,#7d8c04,9
10,Machine D,20,6,82,#67981d,6
11,Machine D,35,7,71,#767aff,5
12,Machine B,82,8,47,#1f4fbf,1
13,Machine A,31,6,67,#bf5637,8
14,Machine A,60,4,21,#9570b3,1
15,Machine B,98,9,75,#900fe9,1
16,Machine A,58,5,28,#2c75ed,9
17,Machine A,97,4,53,#9a4c19,5
18,Machine A,93,6,42,#7fe5eb,2
19,Machine A,75,7,69,#d6daf3,6
20,Machine C,42,6,55,#dc19ec,10
21,Machine A,4,6,60,#1bc2ec,2
22,Machine B,57,4,46,#5c8936,3
23,Machine D,92,4,59,#082323,5
24,Machine A,53,7,60,#65ffb5,3
25,Machine B,87,4,81,#2ca079,7
26,Machine A,46,4,44,#71ede5,10
27,Machine D,99,5,47,#f14481,6
28,Machine C,99,4,65,#18b811,8
29,Machine C,41,8,20,#5112b2,6
30,Machine C,58,5,74,#223574,4
31,Machine B,28,4,59,#1015a3,9
32,Machine D,62,4,46,#7b07fe,6
33,Machine C,32,4,33,#d4bcf6,2
34,Machine A,71,5,42,#f89674,4
35,Machine D,95,4,39,#d38e5d,10
36,Machine B,93,8,63,#ff51c4,8
37,Machine C,45,4,49,#ea55b7,7
38,Machine B,93,4,78,#ed7436,4
39,Machine C,95,5,78,#e8eb32,6
40,Machine D,19,8,45,#7af750,3
41,Machine C,42,5,21,#d502e7,10
42,Machine A,9,4,78,#af238b,5
43,Machine B,21,4,51,#e98b37,7
44,Machine D,21,4,40,#c1446c,2
45,Machine B,42,4,74,#9f4f4d,5
46,Machine A,95,8,25,#b6d341,3
47,Machine A,70,5,71,#b27ae6,7
48,Machine B,37,7,30,#98fbaf,3
49,Machine B,53,7,25,#a961c9,1
50,Machine A,58,7,23,#1dc8cb,5
51,Machine C,75,4,25,#6a828e,1
52,Machine B,81,7,52,#801970,9
53,Machine A,6,4,38,#38be48,6
54,Machine B,10,5,28,#a961b7,3
55,Machine B,84,7,44,#800f80,1
56,Machine D,62,6,30,#677218,7
57,Machine C,41,9,62,#b769af,4
58,Machine A,98,5,28,#38da23,4
59,Machine A,21,4,44,#373bdf,5
60,Machine D,20,4,39,#19de01,7
61,Machine B,61,4,73,#478813,2
62,Machine D,75,5,61,#c37dbd,2
63,Machine B,96,7,38,#689c78,9
64,Machine C,81,4,78,#a15943,10
65,Machine B,22,7,26,#be3081,8
66,Machine B,79,4,53,#692d46,9
67,Machine A,35,7,21,#785712,8
68,Machine C,72,4,76,#193ffb,4
69,Machine C,87,6,70,#454545,8
70,Machine B,97,4,28,#626043,3
71,Machine C,54,4,74,#7fbd05,9
72,Machine B,41,7,37,#608f2a,3
73,Machine A,20,4,42,#2a1c04,7
74,Machine A,26,6,57,#695b57,6
75,Machine B,100,4,38,#bafe91,10
76,Machine A,79,7,23,#23c127,4
77,Machine C,50,4,52,#9f6620,4
78,Machine B,63,4,42,#a13ab3,9
